CD_BAIRRO,NM_BAIRRO,V01042,V01043,V01044,V01045,V01046,V01047,V01048,V01049,V01050,V01051,V01052,V01053,V01054,V01055,V01056,V01057,V01058,V01059,V01060,V01061,V01062,V01063,V01064,V01065,V01066,V01067,V01068,V01069,V01070,V01071,V01072,V01073,V01074,V01075,V01076,V01077,V01078,V01079,V01080,V01081,V01082,V01083,V01084,V01085,V01086,V01087,V01088,V01089,V01090,V01091,V01092,V01093,V01094,V01095,V01096,V01097,V01098,V01099,V01100,V01101,V01102,V01103,V01104,V01105,V01106,V01107,V01108,V01109,V01110,V01111,V01112,V01113,V01114,V01115,V01116,V01117,V01118,V01119,V01120,V01121,V01122,V01123,V01124,V01125,V01126,V01127,V01128,V01129,V01130,V01131,V01132,V01133,V01134,V01135,V01136,V01137,V01138,V01139,V01140,V01141,V01142,V01143,V01144,V01145,V01146,V01147,V01148,V01149,V01150,V01151,V01152,V01153,V01154,V01155,V01156,V01157,V01158,V01159,V01160,V01161,V01162,V01163,V01164,V01165,V01166,V01167,V01168,V01169,V01170,V01171,V01172,V01173,V01174,V01175,V01176,V01177,V01178,V01179,V01180,V01181,V01182,V01183,V01184,V01185,V01186,V01187,V01188,V01189,V01190,V01191,V01192,V01193,V01194,V01195,V01196,V01197,V01198,V01199,V01200,V01201,V01202,V01203,V01204,V01205,V01206,V01207,V01208,V01209,V01210,V01211,V01212,V01213,V01214,V01215,V01216,V01217,V01218,V01219,V01220,V01221,V01222,V01223
1501402001,Batista Campos,6553,3260,39,2922,2072,154,209,562,70,828,10,582,16,527,115,233,0,67,0,11,3090,3463,0,164,1153,2533,2695,0,0,34,129,294,377,478,365,318,334,291,243,196,115,86,530,505,437,371,343,254,284,117,34,3,0,0,3,6,30,9,4,0,0,0,0,0,0,0,0,0,4,10,16,26,9,3,14,0,0,0,0,3,10,10,33,39,31,48,42,194,0,0,0,0,0,0,0,0,0,0,0,0,11,113,141,162,164,90,48,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,9,9,12,4,326,3260,39,0,3237,11,2170,1090,11,14,0,0,889,2348,0,0,1167,1820,329,1296,1941,11,771,396,1274,546,154,166,176,1120,713,1228,0,0,1185,3645,1349,372,11,444,741,1972,1673,503,846,169,200,0,0
1501402002,Canudos,3943,1804,16,1561,1675,108,261,321,26,941,52,440,13,573,40,75,0,0,0,0,1806,2137,0,157,723,1614,1442,0,9,29,122,142,175,196,213,234,185,191,122,78,39,14,200,205,213,217,185,167,208,103,20,0,0,0,3,11,9,10,0,0,0,0,0,0,0,0,0,0,4,31,25,22,26,3,32,0,0,0,0,4,12,18,21,17,19,7,15,71,0,0,0,0,0,0,3,0,0,0,0,0,3,149,144,174,177,130,76,26,7,0,0,0,16,8,3,0,0,0,0,0,0,0,0,0,0,0,6,10,13,8,4,20,16,266,1804,16,0,2112,0,1185,619,0,6,0,0,612,1500,0,0,597,970,260,971,1141,0,384,212,680,290,123,131,119,848,489,652,0,0,677,1913,1237,110,0,322,355,989,924,442,795,37,53,0,0
1501402003,Cidade Velha,3316,1612,13,1505,1226,76,197,341,58,650,16,476,3,606,66,155,3,23,0,46,1576,1740,0,112,686,1289,1221,0,0,44,108,130,198,184,189,213,154,132,108,69,34,32,217,206,213,207,204,174,148,97,20,0,0,0,0,6,11,6,0,0,6,0,0,0,0,0,0,0,6,16,30,25,13,11,9,0,0,0,0,0,3,13,25,39,34,9,24,104,0,0,0,0,0,0,0,0,0,8,6,3,10,125,123,122,111,81,41,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,24,20,14,23,13,27,255,1611,13,0,1676,47,1031,580,0,0,0,0,529,1147,0,0,510,927,202,711,965,47,322,188,617,310,107,95,102,608,426,539,0,0,513,1595,1029,174,47,258,255,845,750,394,635,73,96,0,0
1501402004,Condor,10709,4882,23,4189,5672,412,890,1018,100,3070,168,1283,77,1633,151,149,0,7,0,0,4675,6034,10,424,2347,4644,3256,0,4,149,382,444,565,649,598,561,474,394,260,158,48,43,612,646,634,556,471,401,497,254,46,0,0,10,26,45,61,29,10,3,0,0,0,0,0,0,0,4,119,146,120,82,93,40,33,0,0,0,12,45,74,102,99,112,58,52,44,128,0,0,0,0,0,0,7,0,0,3,0,0,0,631,669,590,511,332,148,49,11,3,0,0,52,20,18,6,0,0,0,0,0,0,0,3,0,9,45,68,109,66,95,111,109,412,4881,23,0,5767,3,2708,2173,0,6,0,0,1945,3822,0,0,1388,2387,1165,2794,2973,3,797,589,1436,944,488,671,463,2328,1479,1494,0,0,1829,5118,3462,289,3,997,832,2359,2759,1180,2281,102,138,0,0
1501402005,Cremação,9425,4422,62,3776,3967,307,588,895,96,2087,98,1023,35,1314,62,255,0,19,0,7,4206,5219,8,346,1748,3938,3369,0,3,91,215,380,522,607,550,510,469,397,281,192,112,36,561,558,561,495,479,373,452,206,26,3,0,6,9,35,55,28,15,5,0,0,0,0,0,0,0,3,48,67,74,86,40,20,50,0,0,0,7,17,39,54,71,99,60,89,71,191,0,0,0,0,0,0,0,3,0,0,4,0,9,383,401,385,382,270,107,35,8,0,0,0,27,12,13,3,0,0,0,0,0,0,0,0,0,4,7,51,51,42,33,54,66,479,4422,62,0,4919,7,2665,1757,28,5,0,0,1492,3427,0,0,1402,2326,776,2159,2760,7,893,503,1462,860,347,416,307,1848,1181,1579,0,0,1635,4681,2782,321,7,768,865,2332,2349,967,1815,114,177,0,0
1501402006,Guamá,25381,12565,67,11985,12072,955,1905,2091,193,6865,340,2453,73,3056,211,547,0,3,0,20,11286,14095,42,1071,5692,11027,7493,0,15,417,915,1177,1611,1730,1590,1451,1179,979,605,362,156,103,1801,1867,1737,1776,1596,1075,1318,561,87,3,0,7,55,125,111,96,34,4,0,0,0,0,0,0,0,19,250,327,267,192,179,51,69,0,0,12,31,96,123,156,177,141,132,88,94,342,0,0,0,0,3,0,0,0,3,0,0,0,20,1403,1478,1276,1161,826,355,81,13,7,3,0,104,57,16,6,3,0,0,0,0,0,0,0,6,47,125,163,132,91,104,135,105,836,12563,67,0,12665,20,7211,5352,0,22,0,0,4034,8631,0,0,3485,6923,2306,6334,6331,20,2024,1458,4263,2659,957,1336,968,5349,3049,3282,0,0,3901,13126,7685,637,20,2067,1828,6176,6950,2776,4907,179,341,0,0
1501402007,Jurunas,16785,8120,50,7601,7556,505,1240,1691,133,4427,237,2022,63,2782,207,267,0,11,0,0,7304,9481,50,755,3765,7099,5084,0,7,276,563,809,1004,1108,1068,889,716,599,477,294,122,65,1213,1195,1140,1143,935,599,773,458,54,0,0,0,15,45,82,38,17,0,0,0,0,0,0,0,0,12,113,192,167,168,104,39,53,0,0,7,39,106,120,125,135,128,91,99,127,319,0,0,0,0,0,3,0,0,3,3,6,0,13,874,900,839,759,601,236,49,15,4,0,0,69,66,7,0,0,0,0,0,0,0,0,0,9,18,76,160,117,88,91,113,131,805,8120,50,0,8552,0,4454,3666,19,20,0,0,2802,5750,0,0,2398,4437,1396,3993,4559,0,1367,1031,2561,1876,558,820,593,3392,2201,2358,0,0,2707,8215,5410,422,0,1424,1283,3770,4445,1908,3502,166,211,0,0
1501402008,Marambaia,18945,9777,57,9188,8118,560,1259,1438,193,4389,178,1735,31,2075,248,285,3,35,0,0,9034,9911,9,586,3986,7912,6414,0,13,245,664,907,1118,1341,1225,1104,917,769,589,418,228,94,1395,1480,1379,1282,1172,807,981,496,92,6,0,0,29,62,71,35,15,0,0,0,0,3,0,0,0,9,84,179,142,190,136,32,66,0,0,0,6,28,51,86,101,94,95,106,89,329,0,0,0,0,0,0,0,3,6,9,6,0,24,820,873,803,755,557,265,76,19,3,0,0,33,25,26,3,3,0,0,0,0,0,0,0,0,17,26,63,68,37,66,92,111,808,9777,57,0,9043,0,6265,3512,11,18,0,0,2717,6326,0,0,3002,5502,1390,4572,4471,0,1952,1049,3710,1786,639,730,684,3874,2019,2451,0,0,2749,10172,5476,523,0,1326,1417,5342,4830,2118,3354,188,261,0,0
1501402009,Marco,20491,9946,96,9009,7012,445,924,2087,216,3401,126,2209,94,2556,226,549,3,60,3,18,9655,10835,15,745,4330,8116,7234,0,0,156,528,968,1167,1345,1156,1061,946,886,716,443,209,192,1421,1481,1383,1216,1064,801,941,476,83,4,0,3,15,50,54,33,7,0,0,0,0,0,0,0,0,0,35,68,108,106,55,18,61,0,0,0,0,30,61,111,155,161,167,157,203,523,0,0,0,0,0,0,0,3,6,0,0,0,16,603,646,605,550,461,200,28,18,0,3,0,18,21,6,4,0,0,0,0,0,0,0,0,0,19,48,109,97,87,46,90,125,1083,9943,96,0,10390,22,6403,3540,34,28,0,0,3180,7209,0,3,3357,5612,1121,4243,6145,22,2090,1265,3811,1801,545,515,581,3640,2576,3569,0,3,3501,10754,5455,762,22,1605,1890,5676,5078,2066,3389,250,443,0,3
1501402010,Fátima,3593,1622,11,1534,1508,65,273,375,17,995,58,443,21,528,31,106,0,0,0,0,1546,2047,0,140,676,1515,1256,0,0,41,97,128,171,206,178,196,176,174,115,61,34,15,196,222,206,224,177,164,211,100,12,0,0,0,0,3,6,13,0,0,0,0,0,0,0,0,0,0,38,44,33,29,34,10,13,0,0,0,11,7,14,15,25,31,23,39,28,101,0,0,0,0,0,0,0,0,0,0,0,0,9,201,194,175,177,129,54,14,3,0,0,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,11,22,13,21,7,21,35,209,1622,11,0,1942,0,899,723,3,3,0,0,636,1306,0,0,489,933,227,863,1079,0,287,201,522,411,94,125,136,724,497,582,0,0,611,1707,1157,114,0,295,314,815,892,384,773,44,64,0,0
1501402011,Nazaré,6599,3059,48,2701,1844,113,240,640,87,671,7,584,10,592,73,305,0,62,3,21,2954,3645,0,219,1142,2281,2948,0,0,9,106,225,313,342,305,312,316,346,296,201,130,142,371,391,401,366,337,290,325,149,26,3,0,0,0,0,15,4,3,0,0,0,0,0,0,0,0,0,3,19,23,20,12,14,22,0,0,0,0,0,9,28,27,27,39,42,60,265,0,0,0,0,0,0,0,0,0,0,0,0,27,110,92,116,95,84,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,47,16,10,18,3,10,315,3059,48,0,3477,21,2010,1049,13,15,0,0,914,2563,0,0,1191,1691,236,1245,2232,21,769,420,1146,543,111,112,155,1084,753,1479,0,0,1297,3498,1417,385,21,446,851,1851,1647,500,917,151,228,0,0
1501402012,Pedreira,21787,10329,120,8917,9062,617,1283,1705,221,4482,204,2208,41,2564,190,366,0,21,0,17,9937,11850,3,655,4757,8887,7458,0,6,240,680,974,1302,1418,1133,1146,1037,896,689,409,169,115,1426,1429,1276,1164,1049,831,1060,473,85,0,0,0,23,59,93,61,13,6,0,0,0,0,0,0,0,6,113,152,139,149,109,59,82,0,0,0,3,12,32,81,128,140,140,140,102,409,0,0,0,0,0,0,0,0,6,6,3,4,24,739,838,855,804,627,261,69,17,9,0,0,37,32,0,3,0,0,0,0,0,0,0,0,0,0,24,113,79,71,61,118,138,1087,10329,120,0,11282,21,6566,3763,29,45,0,0,3296,7986,0,4,3485,5502,1510,5217,6065,21,2193,1289,3713,1789,723,774,688,4515,2594,3471,0,4,3829,11439,5932,558,21,1758,2068,5817,5622,2118,3812,173,304,0,4
1501402013,Reduto,1898,869,13,685,612,32,87,162,32,234,0,180,9,192,19,103,0,16,0,0,872,1026,0,52,314,618,912,0,0,10,39,69,91,85,87,76,96,109,83,71,37,25,115,92,72,82,89,70,96,50,10,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,10,10,9,5,8,4,0,0,0,0,0,0,9,9,3,16,9,7,70,0,0,0,0,0,0,0,0,0,0,3,0,7,46,40,33,27,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,4,3,3,125,868,13,0,1011,0,600,268,0,6,0,0,265,746,0,0,361,445,80,409,602,0,238,123,330,115,35,41,49,360,216,386,0,0,360,970,461,106,0,141,219,526,444,157,304,48,58,0,0
1501402014,Sacramenta,13050,6591,37,6070,5959,472,1039,706,70,3625,188,1135,14,1315,141,205,0,0,0,0,6024,7026,4,444,2785,5690,4110,0,3,248,515,616,755,909,807,748,614,539,358,240,83,47,937,932,853,798,743,593,739,387,42,3,0,0,38,60,43,26,3,3,0,0,0,0,0,0,0,3,98,186,140,109,79,24,42,0,0,0,0,10,20,28,31,43,35,23,25,171,0,0,0,0,0,0,0,0,0,3,0,0,4,744,751,703,582,488,173,37,0,0,0,0,48,24,8,5,0,0,0,0,0,0,0,0,0,6,14,38,46,18,41,53,92,511,6591,37,0,6368,0,4141,2450,3,24,0,0,1863,4505,0,0,1994,3608,1080,3285,3083,0,1249,745,2463,1145,438,630,419,2850,1428,1655,0,0,2058,6822,3821,328,0,1052,1006,3475,3347,1359,2462,102,182,0,0
1501402015,São Brás,6282,2867,50,2586,2089,139,298,493,104,901,42,716,6,655,132,226,0,18,0,41,2954,3328,0,201,1133,2206,2734,0,0,31,128,228,322,348,308,273,346,286,229,202,106,69,378,362,356,305,335,253,372,150,33,0,0,0,0,19,20,17,0,0,0,0,0,0,0,0,0,0,4,41,49,45,27,12,26,0,0,0,0,0,3,9,19,42,16,52,26,200,0,0,0,0,0,0,0,0,3,3,9,0,20,140,172,146,169,119,57,16,3,0,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,21,51,23,25,5,31,54,401,2867,50,0,3347,44,1998,867,15,16,0,0,927,2420,0,3,1032,1614,281,1351,1996,44,688,344,1181,431,151,122,160,1188,764,1232,0,3,1185,3134,1649,310,44,496,689,1706,1426,627,1022,119,181,0,3
1501402016,Souza,3793,2057,17,1879,1140,106,150,343,48,451,8,360,10,371,38,132,0,7,0,60,2033,1760,0,189,962,1552,1080,0,0,37,179,219,284,299,232,205,185,178,100,71,34,9,307,294,302,334,237,152,159,68,10,0,0,0,0,10,21,11,3,0,0,0,0,0,0,0,0,0,5,24,22,5,9,0,7,0,0,0,0,6,14,28,25,25,26,3,32,73,0,0,0,0,0,0,0,0,3,3,0,0,12,66,84,91,65,61,24,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,39,36,7,6,24,19,137,2057,17,0,1709,60,1457,600,4,7,0,0,569,1140,0,0,678,1157,248,666,1043,60,473,205,849,308,141,104,96,565,468,575,0,0,610,2181,853,147,60,269,341,1316,865,372,481,72,63,0,0
1501402017,Telégrafo,11564,5667,55,5471,5758,422,1013,855,97,3635,216,1273,24,1633,142,255,0,6,0,52,5107,6457,11,361,2212,5007,3952,0,6,160,359,508,650,804,715,636,566,475,349,205,90,51,799,798,813,795,692,513,604,341,42,3,0,0,21,70,74,37,4,0,0,0,0,0,0,0,0,9,107,166,155,134,98,48,64,0,0,3,11,16,29,51,49,62,51,60,45,174,0,0,0,0,0,0,0,0,0,0,0,0,15,720,688,717,665,465,176,72,10,3,0,0,69,47,13,4,0,0,0,0,0,0,0,3,0,4,20,34,32,28,32,69,80,697,5667,55,0,5808,55,3384,2283,3,29,0,0,1701,4107,0,0,1586,3171,996,3059,2749,55,938,648,2043,1126,419,566,439,2611,1253,1496,0,0,1638,5695,3860,355,55,832,802,2778,2917,1353,2507,121,203,0,0
1501402018,Montese (Terra Firme),14421,7561,44,7287,6876,515,1115,1064,98,4192,241,1179,41,1563,121,168,0,0,0,0,6617,7804,35,562,3393,6390,4015,0,9,221,517,787,972,1050,918,881,728,592,367,240,87,34,1042,1121,1136,1130,954,683,814,301,27,0,0,3,24,48,96,41,15,6,0,0,0,0,0,0,0,19,178,169,165,132,80,12,24,0,0,9,31,43,57,73,52,66,45,46,37,138,0,0,0,0,0,0,0,0,3,0,0,0,12,862,931,825,763,514,163,10,3,0,0,0,70,45,11,4,3,0,0,0,0,0,0,0,0,15,71,74,67,63,73,57,79,268,7554,44,0,6767,13,4420,3131,0,36,0,0,2166,4600,7,5,2113,4077,1446,3403,3363,13,1265,841,2582,1492,584,855,481,2916,1679,1683,7,5,2184,7533,4374,291,13,1203,976,3667,3863,1596,2777,94,137,7,5
1501402019,Campina,2020,821,8,699,548,42,55,133,21,192,3,176,5,226,29,44,0,13,0,3,975,1045,0,76,409,766,765,0,0,26,49,89,113,91,87,91,71,69,40,21,19,18,105,112,86,113,118,60,52,19,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,0,7,0,0,0,0,0,3,3,0,0,0,0,0,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,16,34,25,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,7,0,3,84,821,8,0,1176,6,537,283,5,3,0,0,429,747,0,0,322,435,79,352,824,6,210,112,296,138,28,37,49,297,374,450,0,0,584,924,428,77,6,290,294,491,433,154,274,31,34,0,0
1501402020,Umarizal,11424,5862,102,5402,3393,230,453,939,132,1430,43,1098,41,1179,182,445,0,80,0,42,5651,5773,7,360,2290,4346,4406,0,0,60,261,559,678,765,661,668,630,579,424,295,180,106,881,907,803,679,683,521,551,241,63,4,0,0,6,16,13,12,6,8,0,0,0,0,0,0,0,0,11,34,48,55,33,18,43,0,0,0,0,6,16,32,53,64,58,59,76,327,0,0,0,0,0,0,0,0,0,0,4,0,30,203,274,230,225,186,98,31,3,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,13,35,30,15,32,31,50,637,5862,102,0,5441,42,4031,1831,32,30,0,0,1556,3885,0,0,2058,3336,586,2062,3379,42,1381,677,2400,932,306,265,263,1790,1284,2095,0,0,2023,6277,2519,601,42,803,1218,3637,2640,944,1575,245,337,0,0
1501402021,Barreiro,6804,3658,3,3538,3637,294,525,334,16,2175,97,468,4,579,36,143,0,0,0,0,3004,3800,0,242,1781,3147,1619,0,3,147,276,421,493,553,478,420,298,214,131,93,11,12,522,585,587,544,432,310,403,115,6,0,0,0,15,48,37,41,14,0,0,0,0,0,0,0,0,21,86,109,73,33,34,0,0,0,0,0,0,5,11,26,14,11,17,18,15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,505,500,411,357,256,90,9,0,0,0,0,25,13,5,0,0,0,0,0,0,0,0,0,0,4,11,14,31,18,25,38,38,95,3658,3,0,3116,0,2037,1621,0,3,0,0,963,2153,0,0,981,1916,791,1680,1436,0,562,419,1181,735,296,493,231,1445,728,708,0,0,982,3621,2034,157,0,556,426,1674,1947,710,1324,43,80,0,0
1501402022,Maracangalha,8593,4617,30,4347,4218,357,692,676,73,2506,135,732,25,885,75,228,0,0,0,6,3944,4649,14,343,1968,3775,2485,0,4,185,332,464,557,653,571,530,469,374,239,143,36,19,651,687,607,610,563,403,521,241,18,0,0,0,32,75,60,32,14,0,0,0,0,0,0,0,0,6,68,140,109,82,54,16,35,0,0,0,8,22,41,74,65,54,51,29,46,73,0,0,0,0,0,0,0,0,0,3,0,0,3,498,540,493,435,319,140,15,0,0,0,0,51,27,3,0,0,0,0,0,0,0,0,0,3,11,23,61,41,30,49,40,47,231,4616,30,0,3903,12,2791,1825,0,18,0,0,1129,2772,3,3,1288,2477,915,2104,1799,12,815,473,1608,869,387,528,283,1817,844,955,3,3,1103,4578,2642,255,12,573,530,2299,2279,955,1685,88,137,3,3
